gene,Ctrl_1,Ctrl_2,Ctrl_3,Ctrl_4,Ctrl_5,Ctrl_6,DMD_1,DMD_2,DMD_3,DMD_4,DMD_5,DMD_6
GENE_0034,54,39,52,67,59,56,55,29,67,82,42,68
GENE_0035,49,36,45,60,53,63,61,32,50,57,57,56
GENE_0036,70,62,47,59,51,39,62,59,37,70,46,36
GENE_0037,52,40,43,53,60,52,64,39,44,67,73,41
GENE_0038,39,54,66,47,47,44,38,69,60,43,38,33
GENE_0039,61,53,36,44,52,53,69,61,46,51,43,38
GENE_0040,49,70,58,62,49,64,63,63,51,77,51,53
GENE_0041,51,50,50,47,29,41,62,64,37,57,27,41
GENE_0042,40,48,49,57,48,44,49,61,42,47,35,45
GENE_0043,43,42,32,41,34,33,30,39,23,38,24,39
GENE_0044,48,56,42,47,47,53,39,50,51,53,39,39
GENE_0045,41,62,50,49,49,69,46,57,57,47,44,66
GENE_0046,45,64,41,45,35,42,51,79,29,45,25,41
GENE_0047,58,57,56,53,72,61,71,52,70,57,90,70
GENE_0048,45,45,50,42,65,65,34,37,46,33,64,63
GENE_0049,45,62,45,45,68,43,57,59,52,56,83,35
GENE_0050,49,54,55,39,44,46,48,49,51,35,52,44
GENE_0051,57,52,55,59,48,54,57,67,40,58,55,42
GENE_0052,42,57,40,56,33,33,44,48,48,50,29,34
GENE_0053,45,53,48,31,31,52,36,46,45,28,31,55
GENE_0054,48,56,53,49,50,40,49,61,46,38,57,48
GENE_0055,35,49,51,55,60,50,29,46,50,56,65,36
GENE_0056,47,37,51,52,37,35,53,27,50,62,35,27
GENE_0057,67,47,48,49,60,37,86,57,55,46,48,46
GENE_0058,47,50,38,48,52,37,47,60,34,43,67,37
GENE_0059,44,50,51,40,45,60,34,41,50,29,43,57
GENE_0060,66,47,31,35,35,44,77,42,39,28,36,33
GENE_0061,44,49,66,49,52,61,50,63,78,50,51,73
GENE_0062,54,78,52,32,45,48,68,100,48,41,35,40
GENE_0063,55,42,41,49,52,57,41,36,47,59,60,61
GENE_0064,44,22,52,61,47,42,44,24,48,73,51,46
GENE_0065,42,49,65,35,55,47,42,60,55,32,64,46
GENE_0066,59,51,58,50,56,47,72,46,53,61,54,47
GENE_0067,55,46,32,62,44,62,49,39,34,47,54,72
GENE_0068,48,43,53,51,66,51,39,48,56,41,57,48
GENE_0069,39,42,38,52,41,44,43,45,38,60,47,47
GENE_0070,42,48,42,50,78,55,49,43,51,53,93,56
GENE_0071,50,55,46,48,53,57,41,56,42,53,52,68
GENE_0072,66,39,50,53,65,58,73,43,41,68,78,68
GENE_0073,39,55,76,39,69,46,35,56,59,39,54,47
GENE_0074,69,41,46,60,48,70,75,38,45,73,36,82
GENE_0075,54,49,41,60,84,70,43,35,33,69,79,85
GENE_0076,36,48,50,50,45,56,36,34,56,38,52,44
GENE_0077,71,36,52,37,40,35,64,41,66,34,47,28
GENE_0078,52,59,59,50,46,59,61,64,48,44,35,54
GENE_0079,71,52,52,33,46,61,58,56,67,23,47,63
GENE_0080,47,55,58,52,56,47,58,55,59,51,48,34
GENE_0081,48,47,44,48,72,46,45,34,45,42,73,35
GENE_0082,39,46,51,56,48,54,49,56,41,50,51,40
GENE_0083,57,40,44,57,69,49,52,34,54,69,72,49
GENE_0084,44,55,38,62,46,48,55,69,48,48,36,53
GENE_0085,51,56,48,53,44,54,52,39,35,65,53,49
GENE_0086,37,51,49,51,52,42,45,53,57,48,39,40
GENE_0087,40,47,44,43,41,39,38,48,33,55,34,31
GENE_0088,39,47,47,57,43,74,39,48,45,66,43,78
GENE_0089,66,49,38,44,58,68,74,35,39,54,41,64
GENE_0090,59,46,49,48,52,40,74,41,47,61,42,29
GENE_0091,47,45,47,54,51,31,57,54,46,54,61,35
GENE_0092,43,55,52,47,57,37,36,39,51,57,70,47
GENE_0093,61,46,41,44,74,73,74,48,39,51,84,74
GENE_0094,62,40,61,42,47,54,46,50,59,38,50,59
GENE_0095,44,52,58,41,36,34,36,62,50,33,33,38
GENE_0096,43,62,58,51,59,30,55,73,73,40,43,31
GENE_0097,69,48,45,55,48,38,60,57,49,70,40,37
GENE_0098,40,53,53,49,58,56,40,44,55,47,56,51
GENE_0099,45,61,37,48,36,59,31,61,33,33,31,51
GENE_0100,46,49,59,64,52,48,43,38,59,71,56,56
GENE_0101,53,46,68,48,71,42,51,46,80,45,79,40
GENE_0102,46,50,55,38,58,39,43,57,44,34,48,35
GENE_0103,55,39,58,56,35,49,46,40,68,65,32,63
GENE_0104,47,35,44,45,49,50,49,32,52,51,56,40
GENE_0105,53,65,59,48,66,66,51,79,59,53,69,79
GENE_0106,53,52,60,38,49,61,46,54,46,42,55,44
GENE_0107,40,39,48,48,40,35,44,37,37,45,32,33
GENE_0108,87,51,59,53,62,46,80,58,68,56,44,57
GENE_0109,53,45,46,49,44,45,58,32,54,40,46,44
GENE_0110,61,30,60,55,56,54,58,37,57,40,71,67
GENE_0111,43,37,62,50,33,46,47,36,46,58,24,34
GENE_0112,56,64,37,42,53,42,57,50,26,40,41,33
GENE_0113,56,38,42,51,42,60,41,31,47,60,40,60
GENE_0114,42,57,54,68,59,51,30,42,46,69,67,54
GENE_0115,49,41,69,43,47,54,45,31,80,39,53,54
GENE_0116,39,48,49,48,53,55,44,59,61,49,53,47
GENE_0117,59,46,46,53,36,48,74,44,35,50,27,48
GENE_0118,37,64,52,59,34,41,38,57,38,74,39,49
GENE_0119,31,58,56,59,47,66,28,67,55,48,36,59
GENE_0120,61,48,43,60,52,45,47,62,31,57,50,39
GENE_0121,56,45,44,50,47,63,58,35,51,44,49,71
GENE_0122,42,46,39,54,52,58,51,55,41,50,52,67
GENE_0123,57,44,45,69,51,52,69,33,41,80,48,46
GENE_0124,47,62,35,72,48,46,44,65,45,71,39,36
GENE_0125,48,51,55,39,67,50,34,52,56,32,74,57
GENE_0126,51,53,50,57,47,56,43,48,64,52,54,54
GENE_0127,41,51,58,35,55,43,48,59,63,42,69,45
GENE_0128,47,64,52,45,51,39,39,60,60,49,41,28
GENE_0129,36,50,49,60,66,48,39,42,48,68,68,35
GENE_0130,48,47,44,32,52,38,38,39,37,33,52,31
GENE_0131,45,58,52,40,44,53,33,46,67,39,53,64
GENE_0132,33,36,53,45,38,68,33,40,43,50,32,81
GENE_0133,51,63,57,41,47,55,38,73,43,50,41,60
GENE_0134,38,56,31,44,54,55,37,51,33,55,39,68
GENE_0135,50,49,48,70,63,64,53,58,44,68,76,60
GENE_0136,44,41,39,53,58,50,44,29,31,57,65,52
GENE_0137,41,50,66,37,45,61,32,48,60,36,54,71
GENE_0138,64,49,46,47,44,60,48,60,45,53,34,66
GENE_0139,48,42,48,56,50,52,40,40,34,44,37,43
GENE_0140,69,52,53,42,49,35,52,57,38,44,38,44
GENE_0141,51,62,66,56,39,41,64,51,70,40,49,41
GENE_0142,45,48,61,41,50,28,32,43,45,38,55,27
GENE_0143,51,34,59,48,45,53,47,26,49,36,53,41
GENE_0144,43,38,20,45,56,37,45,34,16,48,54,34
GENE_0145,54,71,55,48,38,24,57,70,48,49,41,17
GENE_0146,42,56,44,64,54,53,41,41,35,66,65,65
GENE_0147,44,44,53,48,67,61,32,41,55,37,77,69
GENE_0148,39,45,39,50,42,55,48,31,32,59,46,68
GENE_0149,59,64,67,50,51,45,43,67,69,36,51,47
GENE_0150,59,54,40,48,52,44,48,46,43,47,63,39
GENE_0151,52,80,44,78,32,44,44,103,54,55,37,33
GENE_0152,42,58,53,45,49,35,30,50,45,53,55,45
GENE_0153,57,49,47,68,54,50,64,46,52,88,60,57
GENE_0154,41,53,32,51,67,47,51,40,35,61,85,38
GENE_0155,23,37,41,46,59,62,23,41,34,48,50,55
GENE_0156,34,48,34,41,62,48,32,48,32,40,54,38
GENE_0157,54,46,54,40,51,61,39,37,56,46,40,46
GENE_0158,50,59,45,40,55,57,57,52,57,45,49,49
GENE_0159,55,34,67,46,55,60,55,25,51,37,64,60
GENE_0160,35,43,55,55,41,61,24,47,52,55,33,62
GENE_0161,69,53,45,52,51,65,88,39,39,43,43,60
GENE_0162,34,61,34,40,62,27,40,76,27,41,67,27
GENE_0163,38,41,48,44,60,37,36,33,47,41,70,42
GENE_0164,35,58,68,33,51,64,27,43,84,33,61,47
GENE_0165,40,52,57,35,56,50,40,53,69,26,47,47
GENE_0166,38,40,37,47,60,51,46,50,47,59,42,37
GENE_0167,38,52,44,39,57,53,29,47,52,48,46,56
GENE_0168,50,33,57,68,59,53,62,32,43,66,54,55
GENE_0169,50,32,69,53,62,53,48,22,89,54,61,67
GENE_0170,42,51,45,52,51,50,33,41,53,44,60,43
GENE_0171,52,45,58,43,39,47,37,45,47,49,42,58
GENE_0172,36,41,40,58,42,49,42,33,47,62,46,58
GENE_0173,54,60,32,54,43,57,56,58,34,47,34,60
GENE_0174,58,48,44,53,31,49,48,35,30,56,28,56
GENE_0175,60,58,40,52,59,39,55,57,37,56,53,49
GENE_0176,49,39,50,39,49,39,61,47,62,37,50,44
GENE_0177,45,35,41,52,49,48,50,43,46,67,44,57
GENE_0178,46,33,44,50,35,41,51,36,39,58,43,34
GENE_0179,38,61,35,46,60,60,40,57,45,45,50,55
GENE_0180,49,33,51,62,55,46,53,24,54,78,66,34
GENE_0181,51,64,51,40,39,38,66,71,40,28,31,45
GENE_0182,58,72,54,47,56,37,41,60,62,49,65,42
GENE_0183,55,39,36,49,45,61,40,48,30,50,48,48
GENE_0184,59,65,57,42,56,39,75,64,41,53,58,43
GENE_0185,55,53,52,56,69,47,55,63,37,48,67,35
GENE_0186,50,42,55,46,44,53,56,39,47,32,49,63
GENE_0187,51,35,55,48,39,44,47,36,46,51,27,43
GENE_0188,55,51,49,50,52,50,59,63,45,57,55,62
GENE_0189,40,66,53,63,58,44,37,58,65,45,45,32
GENE_0190,43,55,50,59,28,47,51,38,60,57,19,44
GENE_0191,58,42,55,56,66,37,47,45,60,55,47,40
GENE_0192,80,50,50,42,43,53,96,56,59,34,53,47
GENE_0193,51,54,49,55,50,45,36,65,61,60,41,38
GENE_0194,62,51,46,48,47,49,60,63,36,57,41,58
GENE_0195,47,62,41,48,44,46,58,59,37,56,44,51
GENE_0196,52,29,62,52,59,77,55,22,74,42,74,65
GENE_0197,46,54,42,51,41,51,52,47,37,45,47,52
GENE_0198,51,48,52,66,58,42,62,42,57,76,45,39
GENE_0199,37,44,56,43,49,53,36,40,50,47,40,59
GENE_0200,75,34,42,37,57,61,94,35,44,27,69,53
GENE_0201,38,54,47,36,58,62,40,69,49,40,56,45
GENE_0202,55,49,45,47,50,56,64,35,50,33,60,44
GENE_0203,54,33,62,61,60,35,54,34,60,55,58,31
GENE_0204,30,55,37,46,43,44,28,50,38,38,55,44
GENE_0205,46,51,50,29,45,43,37,50,60,20,49,44
GENE_0206,74,31,52,38,65,44,59,36,47,33,77,47
GENE_0207,47,47,48,38,34,54,58,50,54,45,24,62
GENE_0208,39,55,59,55,37,42,41,40,59,41,42,43
GENE_0209,48,58,61,45,63,41,61,46,64,37,67,46
GENE_0210,56,51,46,47,33,50,63,60,55,35,29,55
GENE_0211,45,51,48,48,40,67,44,41,49,45,37,79
GENE_0212,42,43,51,63,67,50,39,30,37,76,85,55
GENE_0213,40,46,45,42,48,43,36,58,49,50,55,39
GENE_0214,46,48,36,39,34,60,45,38,31,45,42,68
GENE_0215,57,44,61,63,51,66,55,33,44,58,49,70
GENE_0216,64,49,55,57,52,53,45,63,50,68,53,41
GENE_0217,42,43,55,55,38,68,49,48,55,55,28,74
GENE_0218,55,38,61,36,45,41,68,28,52,44,39,44
GENE_0219,50,45,41,55,42,68,51,47,38,48,30,77
GENE_0220,49,40,71,44,44,45,56,44,77,37,31,53
GENE_0221,50,52,57,47,43,58,49,45,43,34,39,68
GENE_0222,48,47,52,55,33,52,60,58,65,68,33,43
GENE_0223,27,51,66,52,34,69,31,42,56,43,34,61
GENE_0224,49,55,54,39,46,42,38,53,66,40,56,34
GENE_0225,43,50,42,46,53,51,34,52,41,50,62,58
GENE_0226,41,48,44,32,42,56,51,45,36,32,32,48
GENE_0227,41,48,52,43,54,42,33,45,39,30,59,44
GENE_0228,41,49,67,48,33,70,46,53,51,41,25,84
GENE_0229,40,63,43,29,39,55,45,51,38,37,41,64
GENE_0230,37,32,64,43,50,43,31,26,74,47,55,44
GENE_0231,58,57,31,58,51,49,60,65,26,52,62,43
GENE_0232,54,48,50,53,46,40,55,53,64,50,44,48
GENE_0233,42,51,53,54,60,54,49,58,51,48,63,66
GENE_0234,33,42,56,60,65,44,40,32,53,58,83,48
GENE_0235,49,52,44,50,61,66,46,37,45,37,73,75
GENE_0236,59,69,29,70,46,65,57,66,35,61,39,82
GENE_0237,60,49,33,38,50,57,71,58,26,29,35,48
GENE_0238,36,48,42,56,61,45,41,40,47,47,57,58
GENE_0239,51,62,56,55,26,39,43,57,49,42,25,36
GENE_0240,47,48,55,38,46,53,52,57,56,27,49,38
GENE_0241,43,52,35,53,41,41,46,57,28,63,51,48
GENE_0242,40,65,47,65,47,48,35,68,58,58,56,33
GENE_0243,46,47,38,47,37,53,32,54,43,55,46,40
GENE_0244,57,51,48,70,63,30,47,63,38,77,64,22
GENE_0245,57,53,55,59,49,55,49,53,66,66,52,54
GENE_0246,55,59,51,39,52,70,48,45,48,27,42,67
GENE_0247,64,48,54,80,53,40,60,34,56,82,39,50
GENE_0248,37,36,47,53,45,66,28,43,32,65,32,76
GENE_0249,61,38,53,48,50,53,55,43,49,35,58,39
GENE_0250,57,64,49,48,54,40,71,46,48,54,50,33
GENE_0251,55,53,37,44,51,42,63,62,46,40,51,38
GENE_0252,68,48,38,44,73,43,58,55,34,42,68,48
GENE_0253,32,49,47,57,56,39,40,53,46,66,60,28
GENE_0254,47,44,33,49,44,42,35,31,32,58,39,39
GENE_0255,43,45,31,54,62,55,53,54,34,46,47,39
GENE_0256,51,65,53,45,46,61,38,56,54,33,35,49
GENE_0257,60,62,54,39,48,47,64,66,55,33,44,35
GENE_0258,31,52,47,51,65,51,25,64,60,55,81,55
GENE_0259,62,67,42,47,50,42,44,86,31,52,42,39
GENE_0260,53,45,49,46,40,53,57,43,41,41,36,67
GENE_0261,57,51,68,51,55,40,67,49,55,60,43,33
GENE_0262,43,46,65,45,53,63,39,56,50,34,52,54
GENE_0263,47,37,83,50,41,49,48,35,79,38,32,58
GENE_0264,55,57,63,56,48,55,67,47,48,40,51,62
GENE_0265,38,70,57,54,52,56,35,77,64,68,38,45
GENE_0266,51,67,63,33,46,58,37,81,74,34,34,50
GENE_0267,48,86,41,31,40,50,42,89,35,23,45,43
GENE_0268,53,78,51,57,56,45,51,60,60,59,69,44
GENE_0269,70,61,45,41,62,60,88,75,47,51,55,55
GENE_0270,62,38,43,38,35,51,45,40,48,44,27,49
GENE_0271,41,36,50,54,36,66,33,39,39,67,30,57
GENE_0272,43,42,32,44,57,55,52,40,22,43,42,71
GENE_0273,67,36,41,39,51,45,70,30,42,29,60,56
GENE_0274,39,49,46,64,48,42,47,44,41,46,52,42
GENE_0275,49,57,31,51,36,52,47,70,24,35,26,43
GENE_0276,37,43,43,27,60,38,26,43,38,21,69,31
GENE_0277,59,52,45,50,53,67,65,47,45,63,38,67
GENE_0278,56,33,73,41,52,45,67,34,63,38,57,55
GENE_0279,53,61,51,45,50,74,38,45,45,37,42,61
GENE_0280,41,44,35,37,39,61,33,34,44,29,32,51
GENE_0281,37,66,51,71,44,48,46,76,59,54,52,45
GENE_0282,51,56,56,45,54,49,43,58,66,52,66,61
GENE_0283,51,68,44,60,48,42,42,64,31,73,38,51
GENE_0284,48,72,39,47,32,48,43,66,28,42,39,34
GENE_0285,56,30,63,59,37,52,52,21,58,47,31,63
GENE_0286,35,40,41,44,44,54,33,34,43,34,37,55
GENE_0287,59,36,82,59,55,56,49,39,81,68,69,43
GENE_0288,56,43,78,44,62,52,50,38,61,52,71,51
GENE_0289,53,52,54,42,41,47,54,38,55,49,42,40
GENE_0290,54,54,79,67,36,46,59,49,81,66,33,52
GENE_0291,51,62,61,34,56,70,62,43,76,34,62,84
GENE_0292,50,46,41,47,59,38,49,55,33,37,64,46
GENE_0293,46,44,57,51,49,75,56,47,57,45,63,66
GENE_0294,65,49,34,43,44,51,74,49,36,40,56,53
GENE_0295,61,51,53,40,54,63,77,35,55,45,61,78
GENE_0296,62,51,50,57,43,47,43,35,49,40,55,39
GENE_0297,50,52,44,45,40,51,49,38,44,41,29,45
GENE_0298,44,39,62,44,59,42,41,50,51,45,76,49
GENE_0299,58,50,40,42,50,60,75,64,39,46,38,57
GENE_0300,62,58,41,62,42,38,73,58,45,71,35,46
GENE_0301,50,77,39,45,49,61,48,63,47,42,56,62
GENE_0302,62,65,42,45,30,37,57,77,44,42,22,45
GENE_0303,36,64,64,49,64,29,25,77,58,53,80,22
GENE_0304,53,59,36,40,50,52,55,68,41,40,53,60
GENE_0305,43,55,72,45,48,48,51,63,65,58,46,34
GENE_0306,35,52,42,44,55,63,32,40,32,38,40,70
GENE_0307,57,51,43,30,47,55,42,41,32,22,40,57
GENE_0308,43,57,47,53,47,51,54,69,57,42,40,38
GENE_0309,44,43,33,50,47,63,51,31,34,42,39,81
GENE_0310,44,57,52,56,42,41,50,68,54,68,45,51
GENE_0311,44,51,61,47,50,64,38,53,67,43,61,82
GENE_0312,44,61,46,49,53,49,43,56,45,59,57,35
GENE_0313,60,50,44,45,29,50,61,35,51,40,28,58
GENE_0314,67,34,42,42,49,61,48,27,39,35,44,79
GENE_0315,53,43,64,50,56,57,63,52,80,45,49,47
GENE_0316,38,58,47,49,61,38,45,64,39,45,61,38
GENE_0317,44,37,49,62,70,32,54,34,61,59,80,40
GENE_0318,52,53,63,48,42,38,64,38,51,47,40,41
GENE_0319,46,47,37,55,56,39,58,36,35,44,69,49
GENE_0320,60,47,59,32,56,64,59,35,69,35,51,78
GENE_0321,43,60,71,37,63,58,55,62,73,32,66,55
GENE_0322,49,43,36,46,35,52,43,31,30,37,35,55
GENE_0323,31,53,56,60,64,47,33,49,53,72,63,60
GENE_0324,60,64,55,24,41,52,57,69,40,26,49,65
GENE_0325,58,58,70,50,51,39,75,50,73,48,52,30
GENE_0326,37,46,55,56,47,51,44,57,53,48,36,56
GENE_0327,66,37,43,41,58,74,58,46,47,44,60,53
GENE_0328,58,45,48,56,42,35,73,48,62,57,47,25
GENE_0329,45,50,61,50,59,45,48,57,71,58,49,57
GENE_0330,65,40,49,58,43,55,84,29,61,50,47,49
GENE_0331,42,42,72,49,67,74,53,31,71,46,60,80
GENE_0332,53,58,65,51,57,24,41,65,83,60,69,21
GENE_0333,84,45,34,47,53,62,75,45,24,59,41,76
GENE_0334,44,44,66,62,63,45,33,52,52,44,71,39
GENE_0335,33,38,49,31,57,52,37,39,37,39,55,59
GENE_0336,58,38,43,42,63,49,58,40,37,34,64,47
GENE_0337,45,60,55,43,52,49,42,66,61,31,46,46
GENE_0338,40,38,31,49,51,53,30,31,22,63,58,39
GENE_0339,40,46,58,44,35,57,28,52,55,51,43,60
GENE_0340,49,59,50,44,56,56,39,68,63,46,62,50
GENE_0341,39,54,49,65,57,44,36,61,61,70,66,35
GENE_0342,54,42,60,61,43,39,44,42,48,65,37,45
GENE_0343,66,50,44,52,45,38,78,48,35,56,58,40
GENE_0344,45,43,58,47,53,54,32,30,51,38,62,65
GENE_0345,45,68,34,57,49,40,38,60,28,70,49,43
GENE_0346,56,57,48,40,51,29,53,61,44,36,55,30
GENE_0347,38,59,65,50,72,51,33,46,59,47,77,63
GENE_0348,61,64,58,55,69,40,44,54,47,55,66,45
GENE_0349,54,49,59,46,44,47,45,51,72,57,56,54
GENE_0350,33,38,47,74,52,50,41,31,38,52,58,63
GENE_0351,63,45,40,43,64,47,51,48,45,54,69,60
GENE_0352,47,46,35,71,44,44,42,41,35,66,30,50
GENE_0353,37,52,67,41,66,57,42,59,60,41,60,40
GENE_0354,76,43,42,37,58,51,78,33,31,42,40,65
GENE_0355,65,78,58,68,36,33,65,100,42,71,32,39
GENE_0356,49,61,29,90,52,36,44,52,35,83,36,33
GENE_0357,50,57,55,66,59,54,54,48,52,48,62,62
GENE_0358,62,49,52,43,59,69,58,46,39,35,46,68
GENE_0359,47,48,62,55,55,45,47,60,46,58,55,45
GENE_0360,52,55,40,47,32,60,63,45,28,51,29,42
GENE_0361,59,42,58,50,40,49,50,37,62,40,37,48
GENE_0362,45,56,60,46,40,43,43,71,43,58,41,50
GENE_0363,57,49,44,52,81,39,54,47,54,64,68,31
GENE_0364,58,41,46,52,51,35,57,50,41,56,57,40
GENE_0365,40,61,46,56,73,53,41,57,58,59,83,48
GENE_0366,47,40,54,53,53,44,51,34,45,59,53,48
GENE_0367,59,48,60,41,65,47,50,50,57,43,56,53
GENE_0368,41,49,46,50,57,37,48,41,40,54,63,41
GENE_0369,55,46,71,51,52,62,61,43,66,43,41,69
GENE_0370,43,57,42,38,58,45,32,71,50,46,72,42
GENE_0371,40,51,49,54,38,42,48,40,34,63,28,54
GENE_0372,37,63,51,57,43,46,40,72,43,62,31,55
GENE_0373,51,41,70,76,58,55,40,45,58,56,57,44
GENE_0374,47,61,58,52,38,36,53,51,52,54,33,33
GENE_0375,42,41,51,57,50,45,49,33,38,51,47,46
GENE_0376,42,50,50,56,40,36,38,58,36,53,37,39
GENE_0377,47,58,70,55,49,27,60,58,90,48,35,21
GENE_0378,47,59,53,55,45,49,44,52,40,52,40,37
GENE_0379,45,42,67,38,46,40,39,51,59,42,49,38
GENE_0380,42,56,70,39,43,57,35,51,73,35,35,43
GENE_0381,42,65,55,45,53,54,51,62,59,44,64,55
GENE_0382,47,38,54,47,57,60,46,47,61,36,45,70
GENE_0383,57,41,47,52,47,46,68,42,48,56,45,50
GENE_0384,73,50,57,44,42,60,55,63,65,47,37,47
GENE_0385,45,59,50,57,42,34,42,64,54,52,44,40
GENE_0386,51,46,57,69,48,42,36,44,65,70,52,42
GENE_0387,40,46,47,53,33,44,51,33,46,40,26,40
GENE_0388,42,40,50,44,29,43,33,51,63,39,31,43
GENE_0389,43,49,65,68,62,39,51,52,45,78,71,39
GENE_0390,46,49,52,63,39,57,57,61,52,67,50,50
GENE_0391,43,58,49,61,45,53,38,46,60,69,34,68
GENE_0392,57,27,50,42,50,51,64,32,36,42,55,52
GENE_0393,51,37,42,52,57,40,56,44,38,62,45,34
GENE_0394,31,61,45,28,47,48,22,56,41,33,51,46
GENE_0395,45,44,50,57,40,47,49,32,40,61,43,54
GENE_0396,53,49,49,50,63,55,49,55,54,63,52,56
GENE_0397,40,35,49,41,45,39,42,45,40,41,40,39
GENE_0398,59,50,57,57,37,43,49,36,59,51,29,38
GENE_0399,52,54,52,43,60,40,37,68,54,51,57,49
GENE_0400,53,54,57,48,60,41,52,56,56,54,62,35
GENE_0401,40,48,41,37,67,52,31,51,40,28,62,52
GENE_0402,38,34,37,53,44,33,45,25,33,63,47,28
GENE_0403,58,49,42,65,38,63,70,48,41,83,48,57
GENE_0404,28,49,50,47,69,42,21,43,35,33,64,53
GENE_0405,48,36,46,45,44,36,58,36,47,31,36,25
GENE_0406,49,43,40,53,31,62,56,33,48,57,25,49
GENE_0407,45,54,71,35,49,63,48,66,80,31,51,55
